FIFA Season,Team,ATT,MID,DEF,OVR
18,Brighton & Hove Albion,74,76,74,75
18,Huddersfield Town,75,73,74,74
19,Manchester City,86,88,82,85
19,Tottenham Hotspur,86,82,83,83
19,Liverpool,86,82,82,83
19,Chelsea,85,83,82,83
19,Manchester United,83,83,80,82
19,Arsenal,82,83,80,82
19,Everton,77,80,79,79
19,West Ham United,78,78,77,78
19,Leicester City,78,76,79,78
19,Crystal Palace,79,77,76,77
19,Bournemouth,79,76,77,77
19,Watford,78,78,77,77
19,Burnley,77,75,77,77
19,Wolverhampton Wanderers,75,80,76,77
19,Brighton & Hove Albion,76,77,76,76
19,Newcastle United,75,77,76,76
19,Southampton,75,77,74,76
19,Fulham,78,76,73,75
19,Huddersfield Town,72,73,75,74
19,Cardiff City,73,73,72,73
20,Manchester City,87,86,83,85
20,Liverpool,87,83,85,85
20,Tottenham Hotspur,85,82,82,82
20,Manchester United,83,81,81,81
20,Chelsea,80,84,81,81
20,Arsenal,84,82,78,80
20,Leicester City,80,79,79,79
20,West Ham United,82,78,73,78
20,Everton,80,78,79,78
20,Wolverhampton Wanderers,79,79,78,78
20,Watford,76,78,75,77
20,Newcastle United,75,78,77,77
20,Crystal Palace,73,77,76,77
20,Bournemouth,78,76,76,76
20,Burnley,77,76,76,76
20,Aston Villa,77,75,75,76
20,Southampton,76,76,76,76
20,Brighton & Hove Albion,75,76,76,76
20,Sheffield United,73,77,75,75
20,Norwich City,75,74,72,74
